0.440,103.098,0.002557,1429.665,0.035458,1597.759,0.039627,2376.860,0.058950,3639.178,0.090257,7599.002,0.188467
0.450,100.129,0.002483,1377.774,0.034171,1537.718,0.038138,2269.772,0.056294,3462.782,0.085882,7523.958,0.186606
0.460,97.876,0.002427,1504.043,0.037303,1683.185,0.041746,2458.602,0.060977,3671.968,0.091071,8013.849,0.198756
0.470,94.752,0.002350,1488.349,0.036913,1653.087,0.040999,2391.245,0.059307,3490.471,0.086569,7615.835,0.188885
0.480,91.281,0.002264,1529.903,0.037944,1681.928,0.041714,2502.403,0.062064,3798.513,0.094209,8041.126,0.199433
0.490,89.348,0.002216,1645.818,0.040819,1833.316,0.045469,2662.570,0.066036,3911.508,0.097012,8407.847,0.208528
0.500,86.486,0.002145,1619.468,0.040165,1791.237,0.044426,2590.479,0.064248,3901.961,0.096775,8316.139,0.206253
0.510,85.460,0.002120,1586.229,0.039341,1757.812,0.043597,2564.420,0.063602,3747.047,0.092933,8192.380,0.203184
0.520,82.211,0.002039,1650.473,0.040934,1847.765,0.045828,2678.906,0.066441,3846.607,0.095402,8444.750,0.209443
0.530,78.927,0.001958,1774.889,0.044020,1962.818,0.048681,2781.457,0.068985,4003.379,0.099290,8630.538,0.214051
0.540,76.421,0.001895,1625.512,0.040315,1813.184,0.044970,2609.899,0.064730,3800.002,0.094246,8380.242,0.207843
0.550,74.461,0.001847,1641.905,0.040722,1807.372,0.044826,2620.394,0.064990,3877.869,0.096177,8466.476,0.209982
0.560,70.887,0.001758,1699.653,0.042154,1877.139,0.046556,2653.637,0.065814,3854.332,0.095594,8432.997,0.209152
0.570,70.785,0.001756,1486.605,0.036870,1687.821,0.041861,2472.005,0.061310,3745.162,0.092886,8138.489,0.201847
0.580,66.848,0.001658,1575.718,0.039080,1750.518,0.043416,2492.103,0.061808,3740.454,0.092769,8629.175,0.214017
0.590,63.532,0.001576,1611.703,0.039973,1774.258,0.044004,2536.453,0.062908,3663.079,0.090850,8486.848,0.210487
0.600,60.860,0.001509,1533.669,0.038037,1695.909,0.042061,2445.510,0.060653,3631.255,0.090061,8431.416,0.209112
0.610,59.113,0.001466,1699.749,0.042156,1845.078,0.045761,2611.748,0.064775,3820.718,0.094760,8841.466,0.219282
0.620,54.965,0.001363,1689.938,0.041913,1881.501,0.046664,2729.585,0.067698,4079.708,0.101183,9273.058,0.229987
0.630,53.709,0.001332,1640.770,0.040694,1807.855,0.044838,2523.148,0.062578,3806.545,0.094408,9054.715,0.224571
0.640,51.194,0.001270,1841.220,0.045665,2046.609,0.050759,2866.273,0.071088,4154.078,0.103028,9637.598,0.239028
0.650,49.704,0.001233,1628.817,0.040397,1794.950,0.044518,2625.680,0.065121,3971.602,0.098502,9285.698,0.230300
0.660,45.444,0.001127,1680.306,0.041674,1869.526,0.046367,2692.160,0.066770,4002.947,0.099279,9758.431,0.242025
0.670,44.265,0.001098,1736.141,0.043059,1924.118,0.047721,2731.134,0.067736,4002.713,0.099274,9850.607,0.244311
0.680,41.570,0.001031,1830.065,0.045389,2031.588,0.050387,2854.764,0.070803,4242.670,0.105225,10320.216,0.255958
0.690,38.303,0.000950,1922.593,0.047683,2113.608,0.052421,2975.797,0.073804,4311.533,0.106933,10653.883,0.264233
0.700,36.377,0.000902,1884.614,0.046741,2040.588,0.050610,2845.396,0.070570,4288.596,0.106364,10552.064,0.261708
0.710,34.274,0.000850,1991.465,0.049392,2185.388,0.054201,2999.689,0.074397,4538.968,0.112574,11330.618,0.281017
0.720,32.522,0.000807,2157.526,0.053510,2333.259,0.057869,3256.233,0.080760,4791.577,0.118839,11669.230,0.289415
0.730,29.378,0.000729,2085.635,0.051727,2286.029,0.056697,3154.516,0.078237,4589.700,0.113832,11817.325,0.293088
0.740,28.643,0.000710,2213.233,0.054892,2443.433,0.060601,3303.176,0.081924,4847.968,0.120237,12049.109,0.298837
0.750,26.495,0.000657,2376.526,0.058942,2584.373,0.064097,3448.303,0.085523,5167.821,0.128170,12926.806,0.320605
0.760,24.898,0.000618,2314.415,0.057401,2521.296,0.062532,3402.666,0.084392,5121.505,0.127021,13045.262,0.323543
0.770,22.545,0.000559,2511.870,0.062298,2710.052,0.067214,3624.348,0.089890,5298.637,0.131415,13866.097,0.343901
0.780,21.553,0.000535,2495.909,0.061902,2696.994,0.066890,3625.278,0.089913,5596.693,0.138807,13979.566,0.346715
0.790,19.655,0.000487,2822.712,0.070008,3033.166,0.075227,3953.411,0.098051,5909.921,0.146575,14471.020,0.358904
0.800,18.749,0.000465,2909.610,0.072163,3097.404,0.076821,4098.682,0.101654,5956.572,0.147732,14949.437,0.370770
0.810,16.506,0.000409,3146.300,0.078033,3401.233,0.084356,4344.511,0.107751,6373.470,0.158072,15558.358,0.385872
0.820,14.983,0.000372,3274.009,0.081201,3492.731,0.086625,4430.231,0.109877,6737.486,0.167100,16380.877,0.406272
0.830,14.056,0.000349,3278.470,0.081311,3514.284,0.087160,4548.273,0.112804,6905.441,0.171266,16787.553,0.416358
0.840,12.525,0.000311,3669.852,0.091018,3902.152,0.096780,5099.535,0.126477,7629.520,0.189224,18166.780,0.450565
0.850,11.529,0.000286,4094.785,0.101557,4323.462,0.107229,5304.030,0.131548,8186.566,0.203040,19163.347,0.475281
0.860,10.724,0.000266,4576.402,0.113502,4858.973,0.120510,6002.845,0.148880,9112.713,0.226010,20376.862,0.505379
0.870,9.144,0.000227,4987.814,0.123706,5287.755,0.131145,6391.858,0.158528,9216.941,0.228595,21152.420,0.524614
0.880,7.957,0.000197,5637.860,0.139828,5904.103,0.146431,6992.289,0.173420,10359.747,0.256938,22924.049,0.568553
0.890,7.202,0.000179,6077.291,0.150726,6292.769,0.156071,7433.875,0.184372,11402.750,0.282806,24091.367,0.597504
0.900,6.697,0.000166,7250.639,0.179827,7491.498,0.185801,8707.183,0.215952,12373.640,0.306886,24899.358,0.617544
0.910,5.511,0.000137,8237.590,0.204305,8449.943,0.209572,9535.685,0.236500,13584.194,0.336910,26996.194,0.669548
0.920,4.914,0.000122,9297.958,0.230604,9398.353,0.233094,10493.285,0.260250,14751.510,0.365861,27941.546,0.692995
0.930,4.313,0.000107,10870.467,0.269605,11038.449,0.273771,12094.011,0.299951,16298.350,0.404225,30147.982,0.747718
0.940,3.588,0.000089,13345.637,0.330993,13522.675,0.335384,14710.961,0.364855,18803.434,0.466355,32028.972,0.794369
0.950,3.049,0.000076,15370.812,0.381221,15560.691,0.385930,16416.493,0.407155,20682.528,0.512960,33474.570,0.830222
0.960,2.435,0.000060,18374.252,0.455711,18451.562,0.457628,19095.241,0.473592,23638.224,0.586265,35457.168,0.879394
0.970,2.058,0.000051,22135.828,0.549004,22173.122,0.549929,22890.913,0.567731,27256.488,0.676004,37268.616,0.924321
0.980,1.673,0.000041,26170.682,0.649074,26165.042,0.648935,26495.521,0.657131,30048.240,0.745244,38555.280,0.956232
0.990,1.303,0.000032,32604.082,0.808633,32593.201,0.808363,32691.601,0.810804,34775.760,0.862494,39874.320,0.988946
1.000,1.000,0.000025,40360.360,1.001001,40320.001,1.000000,40320.001,1.000000,40320.000,1.000000,40320.000,1.000000
